종목 이름 (영어),종목 이름 (한글),약어,측정 단위,측정 단위2,카테고리,카테고리2
Air Squat,에어 스쿼트,,reps,,맨몸,
Assault Bike (Calorie),어설트 바이크(칼로리),AB,cal,,유산소,
Assault Bike(Meter),어설트 바이크(미터),AB,meter,,유산소,
Back Squat,백 스쿼트,BSQ,reps,lbs,바벨,
Bar Facing Burpee,바 페이싱 버피,,reps,,맨몸,
Bar Muscle-up,바 머슬업,BMU,reps,,맨몸,
Bar Touching Burpee,바 터칭 버피,,reps,,맨몸,
Bench Press,벤치 프레스,,reps,lbs,바벨,
Box Dips,박스 딥스,,reps,,맨몸,
Box Jump,박스 점프,,reps,,맨몸,
Box Jump Over,박스 점프 오버,BJO,reps,,맨몸,
Box Step Over,박스 스텝 오버,,reps,,맨몸,
Box Step Up,박스 스텝 업,,reps,,맨몸,
Burpee,버피,,reps,,맨몸,
Burpee Box Get Over,버피 박스 겟 오버,,reps,,맨몸,
Burpee Box Jump,버피 박스 점프,,reps,,맨몸,
Burpee Box Jump Over,버피 박스 점프 오버,BBJO,reps,,맨몸,
Burpee Broad Jump (Feet),버피 브로드 점프 (피트),,reps,,맨몸,
Burpee Broad Jump (Meter),버피 브로드 점프 (미터),,reps,,맨몸,
Burpee Double Jump Over Bar,버피 더블 점프 오버 바,,reps,,맨몸,
Burpee Over Bar,버피 오버 바,,reps,,맨몸,
Burpee Over Dumbell,버피 오버 덤벨,,reps,,맨몸,
Burpee Over Rowing,버피 오버 로잉,,reps,,맨몸,
Burpee Pull-up,버피 풀업,,reps,,짐내스틱,
Chest to Bar,체스트 투 바,C2B,reps,,짐내스틱,
Chin-up,친업,,reps,,짐내스틱,
Chin-up (Strict),친업 (스트릭),,reps,,짐내스틱,
Clean,클린,,reps,lbs,바벨,
Clean and Jerk,클린 앤 저크,C&J,reps,lbs,바벨,
Cluster,클러스터,,reps,lbs,바벨,
Crossover,크로스오버,,reps,,줄넘기,
Crunch,크런치,,reps,,맨몸,
DB American Swing,덤벨 아메리칸 스윙,,reps,lbs,덤벨,
DB Box Step Over,덤벨 박스 스텝 오버,,reps,lbs,덤벨,박스
DB Box Step Up,덤벨 박스 스텝 업,,reps,lbs,덤벨,박스
DB Burpee Deadlift,덤벨 버피 데드리프트,,reps,lbs,덤벨,
DB Clean,덤벨 클린,,reps,lbs,덤벨,
DB Clean and Jerk,덤벨 클린 앤 저크,DB C&J,reps,lbs,덤벨,
DB Deadlift,덤벨 데드리프트,,reps,lbs,덤벨,
DB Facing Burpee,덤벨 페이싱 버피,,reps,,덤벨,
DB Front Rack Lunge,덤벨 프론트 랙 런지,,reps,lbs,덤벨,
DB Front Squat,덤벨 프론트 스쿼트,DB FS,reps,lbs,덤벨,
DB Goblet Squat,덤벨 고블릿 스쿼트,DB GS,reps,lbs,덤벨,
DB Hang Clean,덤벨 행 클린,,reps,lbs,덤벨,
DB Hang Clean and Jerk,덤벨 행 클린 앤 저크,DB Hang C&J,reps,lbs,덤벨,
DB Hang Power Clean,덤벨 행 파워 클린,,reps,lbs,덤벨,
DB Hang Power Snatch,덤벨 행 파워 스내치,,reps,lbs,덤벨,
DB Hang Snatch,덤벨 행 스내치,,reps,lbs,덤벨,
DB Hang Squat Snatch,덤벨 행 스쿼트 스내치,,reps,lbs,덤벨,
DB Incline Bench Press,덤벨 인클라인 벤치 프레스,,reps,lbs,덤벨,
DB Lunge,덤벨 런치,,reps,lbs,덤벨,
DB Overhead Lunge,덤벨 오버헤드 런지,,reps,lbs,덤벨,
DB Overhead Squat,덤벨 오버헤드 스쿼트,DB OSQ,reps,lbs,덤벨,
DB Power Clean,덤벨 파워 클린,,reps,lbs,덤벨,
DB Power Snatch,덤벨 파워 스내치,,reps,lbs,덤벨,
DB Press,덤벨 프레스,,reps,lbs,덤벨,
DB Push Jerk,덤벨 푸시 저크,,reps,lbs,덤벨,
DB Push Press,덤벨 푸시 프레스,,reps,lbs,덤벨,
DB Reverse Lunge,덤벨 리버스 런지,,reps,lbs,덤벨,맨몸
DB Russian Swing,덤벨 러시안 스윙,,reps,lbs,덤벨,
DB Russian Twist,덤벨 러시안 트위스트,,reps,lbs,덤벨,
DB Snatch,덤벨 스내치,,reps,lbs,덤벨,
DB Thruster,덤벨 쓰러스터,,reps,lbs,덤벨,
DB Walking Lunge,덤벨 워킹 런지,,reps,lbs,덤벨,맨몸
DB Zercher Squat,덤벨 저처 스쿼트,,reps,lbs,덤벨,
Deadlift,데드리프트,,reps,lbs,바벨,
Devil Press,데빌프레스,,reps,lbs,덤벨,
Double Under,더블 언더,DU,reps,,줄넘기,
Front Squat,프론트 스쿼트,FSQ,reps,lbs,바벨,
Glute Bridge,글루테 브릿지,,reps,lbs,바벨,
Good Morning,굿 모닝,,reps,lbs,바벨,
Ground to Overhead,그라운드 투 오버헤드,,reps,lbs,바벨,
Hand Release Push-up,핸드 릴리즈 푸시 업,,reps,,맨몸,
Handstand,핸드 스탠드,,reps,,맨몸,
Handstand Hold,핸드 스탠드 홀드,,reps,,맨몸,
Handstand Push-up,핸드 스탠드 푸시 업,HPU,reps,,맨몸,
Handstand Push-up (Strict),핸드 스탠드 푸시 업 (스트릭),SHPU,reps,,맨몸,
Handstand Walk,핸드 스탠드 워크,,reps,,맨몸,
Hang Clean,행 클린,,reps,lbs,바벨,
Hang Clean and Jerk,행 클린 앤 저크,Hang C&J,reps,lbs,바벨,
Hang Power Snatch,행 파워 스내치,,reps,lbs,바벨,
Hang Snatch,행 스내치,,reps,lbs,바벨,
Hang Squat Clean,행 스쿼트 클린,,reps,lbs,바벨,
Hanging Knee Raise,행잉 니 레이즈,,reps,,맨몸,
High Hang Clean,하이 행 클린,,reps,lbs,바벨,
High Hang Power Clean,하이 행 파워 클린,,reps,lbs,바벨,
High Hang Power Snatch,하이 행 파워 스내치,,reps,lbs,바벨,
High Hang Snatch,하이 행 스내치,,reps,lbs,바벨,
Hollow Hold,할로우 홀드,,reps,,맨몸,
Hollow Rock,할로우 락,,reps,,맨몸,
Incline Bench Press,인클라인 벤치 프레스,,reps,lbs,바벨,
Jump Squat,점프 스쿼트,,reps,,맨몸,
Jumping Jack,점핑 잭,,reps,,맨몸,
Jumping Lunge,점핑 런지,,reps,,맨몸,
Jumping Pull-up,점핑 풀업,,reps,,맨몸,
Jumping Squat,점핑 스쿼트,,reps,,맨몸,
KB American Swing,케틀벨 아메리칸 스윙,,reps,lbs,케틀벨,
KB Box Step,케틀벨 박스 스텝,,reps,lbs,케틀벨,박스
KB Box Step Over,케틀벨 박스 스텝 오버,,reps,lbs,케틀벨,박스
KB Clean and Press,케틀벨 클린 앤 프레스,,reps,lbs,케틀벨,
KB Deadlift,케틀벨 데드리프트,,reps,lbs,케틀벨,
KB Goblet Squat,케틀벨 고블릿 스쿼트,,reps,lbs,케틀벨,
KB Lunge,케틀벨 런지,,reps,lbs,케틀벨,
KB Russian Swing,케틀벨 러시안 스윙,,reps,lbs,케틀벨,
KB Russian Twist,케틀벨 러시안 트위스트,,reps,lbs,케틀벨,
KB Snatch,케틀벨 스내치,,reps,lbs,케틀벨,
Knees to Elbow,니즈 투 엘보우,,reps,,짐내스틱,
Lateral Burpee,레터럴 버피,,reps,,맨몸,
Lunge,런지,,reps,,맨몸,
Man Maker,맨 메이커,,reps,lbs,덤벨,
Mountain Climber,마운틴 클라이머,,reps,,맨몸,
Overhead Carry,오버헤드 캐리,,meter,lbs,케틀벨,덤벨
Overhead Squat,오버헤드 스쿼트,,reps,lbs,바벨,
Overhead Walking Lunge,오버헤드 워킹 런지,,reps,lbs,바벨,
Pendlay Row,펜들레이 로우,,reps,lbs,바벨,
Pistol,피스톨,,reps,,맨몸,
Plate Ground to Overhead,플레이트 그라운드 투 오버헤드,,reps,lbs,기타,
Power Clean,파워 클린,,reps,lbs,바벨,
Power Snatch,파워 스내치,,reps,lbs,바벨,
Pull-over,풀 오버,,reps,,짐내스틱,
Pull-up,풀 업,,reps,,짐내스틱,
Pull-up (Strict),풀 업 (스트릭),,reps,,짐내스틱,
Push Jerk,푸시 저크,,reps,lbs,바벨,
Push Press,푸시 프레스,,reps,lbs,바벨,
Push-up,푸시 업,,reps,,바벨,
Ring Dip,링 딥,,reps,,짐내스틱,
Ring Muscle-up,링 머슬 업,RMU,reps,,짐내스틱,
Ring Row,링 로우,,reps,,짐내스틱,
Rope Climb,로프 클라임,,reps,,짐내스틱,
Rowing (Calorie),로잉 (칼로리),,cal,,유산소,
Running (Meter),로잉 (미터),,meter,,유산소,
Russian Twist,러시안 트위스트,,reps,,맨몸,
Sandbag Clean,샌드백 클린,,reps,lbs,샌드백,
Sandbag Clean and Jerk,샌드백 클린 앤 저크,Sandbag C&J,reps,lbs,샌드백,
Sandbag Deadlift,샌드백 데드리프트,,reps,lbs,샌드백,
Sandbag Front Squat,샌드백 프론트 스쿼트,Sandbag FSQ,reps,lbs,샌드백,
Sandbag Ground to Overhead,샌드백 그라운드 투 오버헤드,Sandbag G2O,reps,lbs,샌드백,
Sandbag Overhead Walking Lunge,샌드백 오버헤드 워킹 런지,,reps,lbs,샌드백,
Sandbag Shoulder to Overhead,샌드백 숄더 투 오버헤드,SandBag S2O,reps,lbs,샌드백,
Sandbag Shoulder to Shoulder,샌드백 숄더 투 숄더,,reps,lbs,샌드백,
Sandbag Squat Clean,샌드백 스쿼트 클린,,reps,lbs,샌드백,
Sandbag Squat Snatch,샌드백 스쿼트 스내치,,reps,lbs,샌드백,
Sandbag Thruster,샌드백 쓰러스터,,reps,lbs,샌드백,
Sandbag Walking Lunge,샌드백 워킹 런지,,reps,lbs,샌드백,
Shoulder Press,숄더 프레스,,reps,lbs,바벨,덤벨
Shoulder Tap,숄더 탭,,reps,,맨몸,
Shoulder to Overhead,숄더 투 오버헤드,S2O,reps,lbs,바벨,덤벨
Shuttle Run,셔틀 런,,reps,,맨몸,
Side Knee Kick,사이드 니 킥,,reps,,맨몸,
Single Arm DB Clean,싱글 암 덤벨 클린,,reps,lbs,덤벨,
Single Arm DB Clean and Jerk,싱글 암 덤벨 클린 앤 저크,,reps,lbs,덤벨,
Single Arm DB Snatch,싱글 암 덤벨 스내치,,reps,lbs,덤벨,
Single Under,싱글 언더,SU,reps,lbs,줄넘기,
Sit-up,싯 업,,reps,,맨몸,
Ski (Calorie),스키 (칼로리),,reps,,유산소,
Ski (Meter),스키 (미터),,reps,,유산소,
Snatch,스내치,,reps,lbs,바벨,
Snatch Deadlift,스내치 데드리프트,,reps,lbs,바벨,
Squat Clean,스쿼트 클린,,reps,lbs,바벨,
Sumo Deadlift High Pull,스모 데드리프트 하이 풀,,reps,lbs,바벨,
Thruster,쓰러스터,,reps,lbs,바벨,
Toes to Bar,토즈 투 바,T2B,reps,,맨몸,
Toes to Bar (Strict),토즈 투 바 (스트릭),Strict T2B,reps,,맨몸,
Toes to Ring,토즈 투 링,T2R,reps,,맨몸,
Turkish Get Up,터키시 겟업,,reps,,케틀벨,
V-up,브이 업,,reps,,맨몸,
Walking Lunge,워킹 런지,,reps,,덤벨,바벨
Wall Ball Shot,월볼 샷,WBS,reps,,기타,
Wall Climb,월 클라임,,reps,,맨몸,
Wall Facing Handstand Hold,월 페이싱 핸드스탠드 홀드,,reps,,맨몸,
Wall Facing Handstand Push-up,월 페이싱 핸드스탠드 푸시 업,Wall Facing HPU,reps,,맨몸,
Wall Facing Shoulder Taps,월 페이싱 숄더 탭,,reps,,맨몸,
Wall Walk,월 워크,,reps,,맨몸,
Weighted Air Squat,중량 에어 스쿼트,,reps,,맨몸,
Weighted Box Jump,중량 박스 점프,,reps,,맨몸,
Weighted Box Jump Over,중량 박스 점프 오버,Weighted BJO,reps,,맨몸,
Weighted Box Step,중량 박스 스텝,,reps,,맨몸,
Weighted Box Step Over,중량 박스 스텝 오버,,reps,,맨몸,
Weighted Burpee,중량 버피,,reps,,맨몸,
Weighted Pull-up,중량 풀 업,,reps,,짐내스틱,
Weighted Push-up,중량 푸시 업,,reps,,맨몸,
Weighted Sit-up,중량 싯 업,,reps,,맨몸,
Weighted Squat,중량 스쿼트,,reps,,맨몸,
Weighted V-up,중량 브이 업,,reps,,맨몸,
Weighted Walking Lunge,중량 워킹 런지,,reps,,맨몸,
Zercher Squat,저처 스쿼트,,reps,,바벨,